entry_id	headword	source_id	source	pos	cefr	topic_or_section	pdf_page	source_ref
dis-honest-6bcd2ca1	(dis)honest	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	adj.	B2	Unit 30 | Personality	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
first-round-f6f45bd7	(first) round	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	n.	B2	Unit 31 | Sport	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
football-stadium-c7f9a788	(football) stadium	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	n.	B2	Unit 35 | Facilities	3	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=3
golf-club-ef7da29d	(golf) club	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	n.	B2	Unit 31 | Sport	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
golf-course-6e621a6c	(golf) course	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	n.	B2	Unit 31 | Sport	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
ice-hockey-999045ce	(ice) hockey	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	n.	B2	Unit 31 | Sport	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
im-patient-2bcaacd2	(im)patient	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	adj.	B2	Unit 30 | Personality	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
im-polite-9991ffd0	(im)polite	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	adj.	B2	Unit 30 | Personality	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
in-tune-9d51dcb1	(in) tune	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	n.	B2	Unit 27 | Music	1	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=1
in-considerate-965f8126	(in)considerate	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	adj.	B2	Unit 30 | Personality	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
taxi-meter-1a3c8a83	(taxi) meter	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	n.	B2	Unit 33 | Transport and travel	3	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=3
tennis-squash-court-3a32e289	(tennis/squash) court	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	n.	B2	Unit 31 | Sport	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
tree-trunk-c1ad5cc9	(tree) trunk	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	n.	B2	Unit 25 | Geography	1	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=1
un-healthy-e6fa07e1	(un)healthy	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	adj.	B2	Unit 26 | Healthy eating	1	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=1
un-imaginative-60297d9e	(un)imaginative	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	adj.	B2	Unit 30 | Personality	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
un-kind-c4dbd728	(un)kind	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	adj.	B2	Unit 30 | Personality	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
un-popular-5d843001	(un)popular	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	adj.	B2	Unit 30 | Personality	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
un-reliable-24361bab	(un)reliable	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	adj.	B2	Unit 30 | Personality	2	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=2
wet-dry-season-9f4cf83a	(wet/dry) season	grammar-and-vocabulary-for-first-and-first-for-schools-8b73ed4c	Grammar and Vocabulary for First and First for Schools wordlist (2015)	n.	B2	Unit 25 | Climate and weather	1	Grammar--Vocabulary-First-and-First-for-Schools-wordlist.pdf#page=1
a-concept-car-15b47001	a concept car	complete-cae-extended-unit-09-6ffec48f	Complete CAE Extended Unit 09	noun	C1	Unit 09	1	91
a-fair-number-of-sth-aef8fb7f	a fair number of sth	complete-cae-extended-unit-06-168f9855	Complete CAE Extended Unit 06	noun phrase	C1	Unit 06	1	62
a-gap-year-5141ca32	a gap year	ielts-listening-1200-high-frequency-wordlist-c4fee3ec	IELTS Listening 1200 High-Frequency Wordlist			时间 Time	1	雅思听力1200高频词.pdf#page=1
a-high-incidence-of-sth-13edc9fd	a high incidence of sth	complete-cae-extended-unit-13-2ca66860	Complete CAE Extended Unit 13	noun phrase	C1	Unit 13	2	RS
a-hotbed-of-sth-f87440a3	a hotbed of sth	complete-cae-extended-unit-04-6d62bd85	Complete CAE Extended Unit 04	noun phrase	C1	Unit 04	2	39
a-link-between-sth-and-sth-c0f4c2eb	a link between sth and sth	complete-cae-extended-unit-03-c32c4266	Complete CAE Extended Unit 03	noun phrase	C1	Unit 03	2	31
a-an-f05a6367	a, an	cambridge-ket-and-ket-for-schools-vocabulary-list-2009-f6cd16bc	Cambridge KET and KET for Schools Vocabulary List (2009)	art	A2	Alphabetical list: A	4	23387-ket-schools-vocabulary-list.pdf#page=4
a-an-f05a6367	a, an	oxford-3000-by-cefr-level-2e40d37c	Oxford 3000 by CEFR level	indefinite article	A1	CEFR A1	1	The Oxford 3000_by CEFR level.pdf#page=1
a-m-d5f426ad	a.m.	cambridge-b1-preliminary-and-preliminary-for-schools-v-179d61e8	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)	adv	B1	Alphabetical list: A	4	506887-b1-preliminary-vocabulary-list.pdf#page=4
a-m-d5f426ad	a.m.	cambridge-ket-and-ket-for-schools-vocabulary-list-2009-f6cd16bc	Cambridge KET and KET for Schools Vocabulary List (2009)	adv	A2	Alphabetical list: A	4	23387-ket-schools-vocabulary-list.pdf#page=4
a-an-43ba2910	a/an	cambridge-b1-preliminary-and-preliminary-for-schools-v-179d61e8	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)	det	B1	Alphabetical list: A	4	506887-b1-preliminary-vocabulary-list.pdf#page=4
abandon-f930859e	abandon	oxford-3000-by-cefr-level-2e40d37c	Oxford 3000 by CEFR level	v.	B2	CEFR B2	10	The Oxford 3000_by CEFR level.pdf#page=10
ability-083dbabe	ability	cambridge-b1-preliminary-and-preliminary-for-schools-v-179d61e8	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)	n	B1	Alphabetical list: A	4	506887-b1-preliminary-vocabulary-list.pdf#page=4
ability-083dbabe	ability	ielts-listening-1200-high-frequency-wordlist-c4fee3ec	IELTS Listening 1200 High-Frequency Wordlist			工作 Workplaces	10	雅思听力1200高频词.pdf#page=10
ability-083dbabe	ability	oxford-3000-by-cefr-level-2e40d37c	Oxford 3000 by CEFR level	n.	A2	CEFR A2	4	The Oxford 3000_by CEFR level.pdf#page=4
