source	registry_source_id	raw_term	headword	pos	cefr	topic_or_section	pdf_page	source_ref	definition	notes	source_role	corpus_policy	source_format	locator
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	fan	fan	noun		Sports communication - People in sports	49	Edge Vocabulary Book 1A visible PDF p.49		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=49;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=1
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	runner-up	runner-up	noun		Sports communication - People in sports	49	Edge Vocabulary Book 1A visible PDF p.49		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=49;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=2
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	substitute	substitute	noun		Sports communication - People in sports	49	Edge Vocabulary Book 1A visible PDF p.49		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=49;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=3
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	team-mate	team-mate	noun		Sports communication - People in sports	49	Edge Vocabulary Book 1A visible PDF p.49		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=49;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=4
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	umpire	umpire	noun		Sports communication - People in sports	49	Edge Vocabulary Book 1A visible PDF p.49		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=49;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=5
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	ball	ball	noun		Sports communication - Sports equipment	49	Edge Vocabulary Book 1A visible PDF p.49		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=49;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=6
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	bat	bat	noun		Sports communication - Sports equipment	49	Edge Vocabulary Book 1A visible PDF p.49		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=49;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=7
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	cue	cue	noun		Sports communication - Sports equipment	49	Edge Vocabulary Book 1A visible PDF p.49		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=49;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=8
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	goalpost	goalpost	noun		Sports communication - Sports equipment	49	Edge Vocabulary Book 1A visible PDF p.49		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=49;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=9
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	goggles	goggles	noun		Sports communication - Sports equipment	49	Edge Vocabulary Book 1A visible PDF p.49		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=49;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=10
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	golf club	golf club	noun phrase		Sports communication - Sports equipment	49	Edge Vocabulary Book 1A visible PDF p.49		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=49;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=11
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	puck	puck	noun		Sports communication - Sports equipment	49	Edge Vocabulary Book 1A visible PDF p.49		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=49;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=12
Edge Vocabulary Book 1A	edge-vocabulary-book-1a	acrostic	acrostic	noun		Poems (I) - Words used in poetry	51	Edge Vocabulary Book 1A visible PDF p.51		visible-even-pages-only; source-missing-alternate-pages; explicit target-list term and printed POS only; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=51;region=explicit-vocabulary-list;scope=visible-even-pages-only;source-missing-alternate-pages=true;entry=1
