source	registry_source_id	raw_term	headword	pos	cefr	topic_or_section	pdf_page	source_ref	definition	notes	source_role	corpus_policy	source_format	locator
Edge 2E 1B Unit 7 Vocabulary 1	edge-2e-1bu7-vocabulary-moves	deals out the cards	deals out the cards	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=0,col=0
Edge 2E 1B Unit 7 Vocabulary 1	edge-2e-1bu7-vocabulary-moves	draws a card	draws a card	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=0,col=1
Edge 2E 1B Unit 7 Vocabulary 1	edge-2e-1bu7-vocabulary-moves	miss a turn	miss a turn	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=0,col=2
Edge 2E 1B Unit 7 Vocabulary 1	edge-2e-1bu7-vocabulary-moves	rolled the dice	rolled the dice	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=0,col=3
Edge 2E 1B Unit 7 Vocabulary 1	edge-2e-1bu7-vocabulary-moves	shuffle the cards	shuffle the cards	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=1,col=0
Edge 2E 1B Unit 7 Vocabulary 1	edge-2e-1bu7-vocabulary-moves	tossed a coin	tossed a coin	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=1,col=1
Edge 2E 1B Unit 7 Vocabulary 1	edge-2e-1bu7-vocabulary-moves	turned the card over	turned the card over	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=1,col=2
Edge 2E 1B Unit 7 Vocabulary 2	edge-2e-1bu7-vocabulary-adjectives	addictive	addictive	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=0,col=0
Edge 2E 1B Unit 7 Vocabulary 2	edge-2e-1bu7-vocabulary-adjectives	best-selling	best-selling	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=0,col=1
Edge 2E 1B Unit 7 Vocabulary 2	edge-2e-1bu7-vocabulary-adjectives	challenging	challenging	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=0,col=2
Edge 2E 1B Unit 7 Vocabulary 2	edge-2e-1bu7-vocabulary-adjectives	classic	classic	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=0,col=3
Edge 2E 1B Unit 7 Vocabulary 2	edge-2e-1bu7-vocabulary-adjectives	entertaining	entertaining	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=1,col=0
Edge 2E 1B Unit 7 Vocabulary 2	edge-2e-1bu7-vocabulary-adjectives	family-friendly	family-friendly	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=1,col=1
Edge 2E 1B Unit 7 Vocabulary 2	edge-2e-1bu7-vocabulary-adjectives	multi-player	multi-player	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx		Printed form preserved; lemma review required before target promotion.	lexical_candidate	candidate_only	docx	docx:table=0,row=1,col=2
