entry_id	headword	source_id	source	pos	cefr	topic_or_section	pdf_page	source_ref	registry_source_id	source_format	locator	source_role	corpus_policy
addictive-b3ee97f2	addictive	edge-2e-1b-unit-7-vocabulary-2-64327d1d	Edge 2E 1B Unit 7 Vocabulary 2	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx	edge-2e-1bu7-vocabulary-adjectives	docx	docx:table=0,row=0,col=0	lexical_candidate	candidate_only
best-selling-24969389	best-selling	edge-2e-1b-unit-7-vocabulary-2-64327d1d	Edge 2E 1B Unit 7 Vocabulary 2	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx	edge-2e-1bu7-vocabulary-adjectives	docx	docx:table=0,row=0,col=1	lexical_candidate	candidate_only
challenging-c7d93322	challenging	edge-2e-1b-unit-7-vocabulary-2-64327d1d	Edge 2E 1B Unit 7 Vocabulary 2	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx	edge-2e-1bu7-vocabulary-adjectives	docx	docx:table=0,row=0,col=2	lexical_candidate	candidate_only
classic-290b7518	classic	edge-2e-1b-unit-7-vocabulary-2-64327d1d	Edge 2E 1B Unit 7 Vocabulary 2	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx	edge-2e-1bu7-vocabulary-adjectives	docx	docx:table=0,row=0,col=3	lexical_candidate	candidate_only
deals-out-the-cards-88336033	deals out the cards	edge-2e-1b-unit-7-vocabulary-1-0eee8dda	Edge 2E 1B Unit 7 Vocabulary 1	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx	edge-2e-1bu7-vocabulary-moves	docx	docx:table=0,row=0,col=0	lexical_candidate	candidate_only
draws-a-card-7b3db839	draws a card	edge-2e-1b-unit-7-vocabulary-1-0eee8dda	Edge 2E 1B Unit 7 Vocabulary 1	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx	edge-2e-1bu7-vocabulary-moves	docx	docx:table=0,row=0,col=1	lexical_candidate	candidate_only
entertaining-648a04ab	entertaining	edge-2e-1b-unit-7-vocabulary-2-64327d1d	Edge 2E 1B Unit 7 Vocabulary 2	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx	edge-2e-1bu7-vocabulary-adjectives	docx	docx:table=0,row=1,col=0	lexical_candidate	candidate_only
family-friendly-9a258d6c	family-friendly	edge-2e-1b-unit-7-vocabulary-2-64327d1d	Edge 2E 1B Unit 7 Vocabulary 2	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx	edge-2e-1bu7-vocabulary-adjectives	docx	docx:table=0,row=1,col=1	lexical_candidate	candidate_only
miss-a-turn-7976ac1b	miss a turn	edge-2e-1b-unit-7-vocabulary-1-0eee8dda	Edge 2E 1B Unit 7 Vocabulary 1	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx	edge-2e-1bu7-vocabulary-moves	docx	docx:table=0,row=0,col=2	lexical_candidate	candidate_only
multi-player-c6b4a438	multi-player	edge-2e-1b-unit-7-vocabulary-2-64327d1d	Edge 2E 1B Unit 7 Vocabulary 2	adjective		Adjectives to describe games		Edge_2E_1BU7_Graded_vocabulary_02.docx	edge-2e-1bu7-vocabulary-adjectives	docx	docx:table=0,row=1,col=2	lexical_candidate	candidate_only
rolled-the-dice-ba59ee5b	rolled the dice	edge-2e-1b-unit-7-vocabulary-1-0eee8dda	Edge 2E 1B Unit 7 Vocabulary 1	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx	edge-2e-1bu7-vocabulary-moves	docx	docx:table=0,row=0,col=3	lexical_candidate	candidate_only
shuffle-the-cards-516d14db	shuffle the cards	edge-2e-1b-unit-7-vocabulary-1-0eee8dda	Edge 2E 1B Unit 7 Vocabulary 1	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx	edge-2e-1bu7-vocabulary-moves	docx	docx:table=0,row=1,col=0	lexical_candidate	candidate_only
tossed-a-coin-4b6a123a	tossed a coin	edge-2e-1b-unit-7-vocabulary-1-0eee8dda	Edge 2E 1B Unit 7 Vocabulary 1	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx	edge-2e-1bu7-vocabulary-moves	docx	docx:table=0,row=1,col=1	lexical_candidate	candidate_only
turned-the-card-over-fb246474	turned the card over	edge-2e-1b-unit-7-vocabulary-1-0eee8dda	Edge 2E 1B Unit 7 Vocabulary 1	verb phrase		Moves in games		Edge_2E_1BU7_Graded_vocabulary_01.docx	edge-2e-1bu7-vocabulary-moves	docx	docx:table=0,row=1,col=2	lexical_candidate	candidate_only
